condition,severity,seed,probe,network,target_response_coverage,transfer_split_abs_log2,transfer_nonstationary_flag,transfer_log2_slope_per_s,locked_transfer_segment_median,median_target_snr_db,median_target_phase_consistency,target_frequency_qa_valid_fraction,evoked_fc_split_abs_z
Baseline,0.0,251,2Hz,episodic_expanded,1.0,0.0003049178972724999,False,-8.050969913764305e-05,0.0005528512717532422,31.582677553645837,0.9999996543843885,1.0,0.003144346462529146
Baseline,0.0,251,2Hz,semantic_expanded,1.0,0.0009045408424171479,False,-0.00023250177338338674,0.00027962698241330245,31.595201552902576,0.9999985134191257,1.0,0.01364818983339866
Baseline,0.0,281,2Hz,episodic_expanded,1.0,0.0003052828333624703,False,-8.057656044879735e-05,0.000552851257849539,31.582586334276293,0.9999996503972606,1.0,0.0031409288956276704
Baseline,0.0,281,2Hz,semantic_expanded,1.0,0.0009041177905890319,False,-0.00023235912169665697,0.0002796269842072993,31.594967775922647,0.999998509934789,1.0,0.013607972211792774
Baseline,0.0,313,2Hz,episodic_expanded,1.0,0.00030441518048488284,False,-8.018503939855037e-05,0.000552851271753142,31.58275979553356,0.9999996554697571,1.0,0.0031246861576450513
Baseline,0.0,313,2Hz,semantic_expanded,1.0,0.0009015885700075266,False,-0.00023148434762569893,0.00027962698241330245,31.595399240217596,0.9999985172837977,1.0,0.01354417056677315
Baseline,0.0,347,2Hz,episodic_expanded,1.0,0.0003044120343985871,False,-8.0135239465573e-05,0.0005528512578497541,31.58275545481287,0.9999996604992085,1.0,0.0031293105473615412
Baseline,0.0,347,2Hz,semantic_expanded,1.0,0.0009002395669178999,False,-0.0002310298370424846,0.000279626984207271,31.595624432966286,0.9999985174969103,1.0,0.01351864906090583
Baseline,0.0,383,2Hz,episodic_expanded,1.0,0.0003023654684017225,False,-7.982703855873297e-05,0.0005528512578492415,31.582679895089903,0.999999664609736,1.0,0.003104172267906602
Baseline,0.0,383,2Hz,semantic_expanded,1.0,0.0008943665137666104,False,-0.000229733108178376,0.0002796269842072988,31.595390828455375,0.9999985254061847,1.0,0.013421971049341508
Baseline,0.0,421,2Hz,episodic_expanded,1.0,0.00030530057908708557,False,-8.076407908168548e-05,0.0005528512578495572,31.58276895425776,0.9999996540737859,1.0,0.0031610139012250293
Baseline,0.0,421,2Hz,semantic_expanded,1.0,0.0009057195293780487,False,-0.00023299499216413724,0.0002796269842072715,31.595289727444268,0.9999985149176588,1.0,0.013675951537982733
Baseline,0.0,461,2Hz,episodic_expanded,1.0,0.00030360702910600635,False,-8.00792914109394e-05,0.0005528512717533512,31.582688750163012,0.999999654440684,1.0,0.0031267846178564263
Baseline,0.0,461,2Hz,semantic_expanded,1.0,0.0008999961730090339,False,-0.0002312589492650119,0.00027962698241334414,31.59517798822888,0.9999985241834576,1.0,0.01355449229652228
Baseline,0.0,503,2Hz,episodic_expanded,1.0,0.0003051459615898992,False,-8.053340725222569e-05,0.0005528512578493102,31.582649200597416,0.9999996557989871,1.0,0.003139711040170745
Baseline,0.0,503,2Hz,semantic_expanded,1.0,0.0009045604066193278,False,-0.00023247356168747403,0.0002796269842072993,31.595241492829725,0.9999985107685825,1.0,0.013635007553949308
Intermediate AD-like perturbation,0.5,11,2Hz,episodic_expanded,1.0,1.0492933968805715,True,0.2837369204904156,0.011170030530265454,-4.182082972174625,0.23199042698115768,0.0,0.07674655484037779
Intermediate AD-like perturbation,0.5,11,2Hz,semantic_expanded,1.0,1.2199496402122088,True,0.38410950657129983,0.019543122035615465,-3.4326111666257564,0.2195875200573051,0.0,0.07257127616012207
Intermediate AD-like perturbation,0.5,23,2Hz,episodic_expanded,1.0,1.2026637764493924,True,0.5086635814717427,0.0035602641972408283,-3.429727079140999,0.2536133649422572,0.05263157894736842,0.026194087144801204
Intermediate AD-like perturbation,0.5,23,2Hz,semantic_expanded,1.0,1.3342659525190887,True,0.5850582365991635,0.003645694274184351,-5.0406080402784585,0.1687506965920102,0.07692307692307693,0.025553058973874637
Intermediate AD-like perturbation,0.5,37,2Hz,episodic_expanded,1.0,0.9494714703150609,False,0.19325722365784292,0.0009935479587443602,11.697404463508029,0.3353710798108825,0.8947368421052632,5.371060013886764e-06
Intermediate AD-like perturbation,0.5,37,2Hz,semantic_expanded,1.0,0.5194313212531774,False,0.08888424526615357,0.0005788737517420679,7.048885326126921,0.19861042252006267,0.46153846153846156,0.023497505335274973
Intermediate AD-like perturbation,0.5,53,2Hz,episodic_expanded,1.0,4.5361770076392345,True,0.7480610356115097,0.0009955790487300978,1.3050412399396878,0.3031359032544901,0.7368421052631579,0.04336023855997958
Intermediate AD-like perturbation,0.5,53,2Hz,semantic_expanded,1.0,5.181972129768099,True,0.8438118882606567,0.0007675960526669697,0.54087804074424,0.2171480571803201,0.46153846153846156,0.07612417797876952
Intermediate AD-like perturbation,0.5,71,2Hz,episodic_expanded,1.0,0.6734288900102655,False,0.2870934460921947,0.006863328287517649,-1.6630120726300415,0.12145003899281258,0.05263157894736842,0.02505000867599863
Intermediate AD-like perturbation,0.5,71,2Hz,semantic_expanded,1.0,0.7859778268926985,False,0.4279195459870999,0.01536494925321968,-2.3794972507136865,0.08764266369439913,0.07692307692307693,0.027971033913272107
Intermediate AD-like perturbation,0.5,89,2Hz,episodic_expanded,1.0,3.8699902633992376,True,0.6994308487281243,0.004303455950341851,-0.8455098316475146,0.3569355706129175,0.3157894736842105,0.07595642362242884
Intermediate AD-like perturbation,0.5,89,2Hz,semantic_expanded,1.0,4.0676202194404425,True,0.7810790043707196,0.005114870525350727,-1.2504156356764633,0.18770616640372445,0.23076923076923078,0.1040310081655633
Intermediate AD-like perturbation,0.5,107,2Hz,episodic_expanded,1.0,2.4203239602495454,True,0.4975158912845184,0.0012415084912550383,-1.0863933631023353,0.17568172601440687,0.21052631578947367,0.06304873668376812
Intermediate AD-like perturbation,0.5,107,2Hz,semantic_expanded,1.0,1.9916819690696688,True,0.46460393852674076,0.001345589114502406,-1.5478191607893856,0.13337636638065864,0.07692307692307693,0.032186177569869225
Intermediate AD-like perturbation,0.5,127,2Hz,episodic_expanded,1.0,2.6337103968337434,True,0.43744577948994134,0.0017660492867734344,-0.37510454445021246,0.35426387827216005,0.3157894736842105,0.1254917531630194
Intermediate AD-like perturbation,0.5,127,2Hz,semantic_expanded,1.0,2.677492776183955,True,0.4845675016478366,0.0015444296364877652,-2.333632208531439,0.14398837831190422,0.07692307692307693,0.06673482893594766
Intermediate AD-like perturbation,0.5,149,2Hz,episodic_expanded,1.0,1.926198422044701,True,0.4475378037411976,0.0015351832044308176,0.7186222540820653,0.17691384467382928,0.47368421052631576,0.17660992176148851
Intermediate AD-like perturbation,0.5,149,2Hz,semantic_expanded,1.0,1.9466278798388938,True,0.5726197604423933,0.0034952528929424772,-0.9401553129951425,0.10380011207890888,0.15384615384615385,0.14985371396480082
