severity,seed,probe,network,metric,difference,old_pointwise_tolerance,within_old_pointwise_tolerance
1.0,313,5Hz,episodic_expanded,functional_connectivity,0.0018996075018344952,0.05,True
1.0,313,5Hz,semantic_expanded,functional_connectivity,0.008372496740620558,0.05,True
1.0,347,5Hz,episodic_expanded,functional_connectivity,0.03438507205454765,0.05,True
1.0,347,5Hz,semantic_expanded,functional_connectivity,0.029425333341058884,0.05,True
1.0,383,5Hz,episodic_expanded,functional_connectivity,0.04841097106514369,0.05,True
1.0,383,5Hz,semantic_expanded,functional_connectivity,0.010237777965804128,0.05,True
1.0,421,5Hz,episodic_expanded,functional_connectivity,0.010530342591126722,0.05,True
1.0,421,5Hz,semantic_expanded,functional_connectivity,0.006840263788221581,0.05,True
1.0,461,5Hz,episodic_expanded,functional_connectivity,0.04726784504443867,0.05,True
1.0,461,5Hz,semantic_expanded,functional_connectivity,0.05203075356492822,0.05,False
1.0,503,5Hz,episodic_expanded,functional_connectivity,0.008831774400525141,0.05,True
1.0,503,5Hz,semantic_expanded,functional_connectivity,0.004579101187664393,0.05,True
0.0,11,pulse,episodic_expanded,response_latency,2.0,5.0,True
0.0,11,pulse,semantic_expanded,response_latency,1.0,5.0,True
0.0,23,pulse,episodic_expanded,response_latency,2.0,5.0,True
