region_index,region_label,hemisphere,surrogate_amyloid,baseline_b,intermediate_b,high_b,b_reduction,weighted_structural_strength,structural_feature_basis,direct_connectivity_to_left_a1,direct_connectivity_to_right_a1,bilateral_a1_affinity,semantic_expanded_membership,episodic_expanded_membership,semantic_anatomical_core_membership,episodic_anatomical_core_membership,anatomical_core_membership,semantic_platel_peak_membership,episodic_platel_peak_membership,platel_peak_membership,raw_trace_region_membership
10,L_PEF,L,1.61213875600491,0.07,0.06822404660612899,0.06644809321225796,0.0035519067877420457,0.3569584957733366,symmetrized_0.5_times_W_plus_W_transpose,0.00030834508034935284,0.0002919497778221175,0.0006002948581714703,False,False,False,False,False,False,False,False,False
11,L_55b,L,1.98647967678297,0.07,0.05899199522360661,0.04798399044721322,0.022016009552786785,0.48007632617703977,symmetrized_0.5_times_W_plus_W_transpose,0.00014891986812640032,0.000323586978315163,0.0004725068464415633,False,False,False,False,False,False,False,False,False
12,L_V3A,L,1.46379201423125,0.07,0.06926333829596727,0.06852667659193454,0.001473323408065469,0.43965582991890634,symmetrized_0.5_times_W_plus_W_transpose,0.00170922759475712,0.0003275182923469265,0.0020367458871040464,False,False,False,False,False,False,False,False,False
13,L_RSC,L,1.76606192755562,0.07,0.06584355523541582,0.061687110470831655,0.008312889529168352,0.7045098712235771,symmetrized_0.5_times_W_plus_W_transpose,0.00287968779057478,0.00154470058774237,0.00442438837831715,False,False,False,False,False,False,False,False,False
14,L_POS2,L,1.9697837941523,0.07,0.059627993011784564,0.04925598602356912,0.020744013976430886,0.6120738599360274,symmetrized_0.5_times_W_plus_W_transpose,0.0022318487907039396,0.0015853078505119649,0.0038171566412159045,False,False,False,False,False,False,False,False,False
15,L_V7,L,1.35231282496206,0.07,0.06962653818449548,0.06925307636899095,0.000746923631009061,0.3589863603135077,symmetrized_0.5_times_W_plus_W_transpose,0.0012397537053236,0.00029516036262079,0.00153491406794439,False,False,False,False,False,False,False,False,False
16,L_IPS1,L,2.1921338630578,0.07,0.051525239059116996,0.033050478118233986,0.03694952188176602,0.4225974938052476,symmetrized_0.5_times_W_plus_W_transpose,0.00140758036112531,0.0006007484717531135,0.0020083288328784235,False,False,False,False,False,False,False,False,False
17,L_FFC,L,1.80066826124818,0.07,0.06504226417506537,0.06008452835013073,0.009915471649869279,0.3953979078098145,symmetrized_0.5_times_W_plus_W_transpose,0.0006257829112149625,0.0004073393625189522,0.0010331222737339147,False,False,False,False,False,False,False,False,False
18,L_V3B,L,1.68625479351844,0.07,0.0672951838782888,0.06459036775657759,0.005409632243422419,0.32594248331428916,symmetrized_0.5_times_W_plus_W_transpose,0.0015554563910339901,0.000520885172275793,0.002076341563309783,False,False,False,False,False,False,False,False,False
19,L_LO1,L,2.12104725673298,0.07,0.053869589295695255,0.037739178591390504,0.0322608214086095,0.2968578762449552,symmetrized_0.5_times_W_plus_W_transpose,0.00017704908204799785,0.00035970731337821196,0.0005367563954262098,False,False,False,False,False,False,False,False,False
20,L_LO2,L,2.18665295057769,0.07,0.05169115008276278,0.033382300165525555,0.03661769983447445,0.3191168505680777,symmetrized_0.5_times_W_plus_W_transpose,4.3975428030083096e-05,0.00043418084782531846,0.00047815627585540154,False,False,False,False,False,False,False,False,False
21,L_PIT,L,2.21060865747173,0.07,0.05098592385831821,0.03197184771663641,0.0380281522833636,0.2993334176278671,symmetrized_0.5_times_W_plus_W_transpose,0.00037191597635585197,0.0007448604544752575,0.0011167764308311094,False,False,False,False,False,False,False,False,False
22,L_MT,L,1.95986081176431,0.07,0.06000090548147398,0.050001810962947944,0.019998189037052062,0.3177515017425273,symmetrized_0.5_times_W_plus_W_transpose,0.00046131038213090443,8.575927718952554e-05,0.0005470696593204299,False,False,False,False,False,False,False,False,False
23,L_A1,L,1.69346996588115,0.07,0.06718488604457679,0.06436977208915355,0.005630227910846455,0.33553977824103587,symmetrized_0.5_times_W_plus_W_transpose,5.9055685252439e-05,3.6409900016264e-05,9.5465585268703e-05,False,False,False,False,False,False,False,False,True
24,L_PSL,L,1.90154454637761,0.07,0.06208124079624757,0.054162481592495135,0.015837518407504872,0.3891588640103576,symmetrized_0.5_times_W_plus_W_transpose,0.002312840157499005,0.00016753872004012456,0.0024803788775391296,False,False,False,False,False,False,False,False,False
25,L_SFL,L,2.06697309356861,0.07,0.055875718405894864,0.04175143681178972,0.028248563188210285,0.5301229302068617,symmetrized_0.5_times_W_plus_W_transpose,0.0017667397874755,0.000441139365664787,0.002207879153140287,False,False,False,False,False,False,False,False,False
26,L_PCV,L,1.97470549380383,0.07,0.05944152869503145,0.04888305739006289,0.021116942609937114,0.4882032280826287,symmetrized_0.5_times_W_plus_W_transpose,0.0016945257072015951,0.002049824941375025,0.00374435064857662,False,True,False,True,True,False,False,False,True
27,L_STV,L,1.50517553150786,0.07,0.06905498930868656,0.0681099786173731,0.001890021382626908,0.38463986757289026,symmetrized_0.5_times_W_plus_W_transpose,0.001726633784718855,0.000681066975277068,0.002407700759995923,False,False,False,False,False,False,False,False,False
28,L_7Pm,L,1.22405163721871,0.07,0.06983057746842358,0.06966115493684717,0.00033884506315283447,0.4441539244828956,symmetrized_0.5_times_W_plus_W_transpose,0.001283473642968725,0.0003201286985532515,0.0016036023415219765,False,False,False,False,False,False,False,False,False
29,L_7m,L,1.84557734982185,0.07,0.06383695258878086,0.05767390517756173,0.01232609482243828,0.5191920960281471,symmetrized_0.5_times_W_plus_W_transpose,0.0012508547564323551,0.0014764001847363101,0.0027272549411686653,False,True,False,True,True,False,False,False,True
30,L_POS1,L,1.91373718677704,0.07,0.061664870010524266,0.053329740021048525,0.016670259978951482,0.5685226894264501,symmetrized_0.5_times_W_plus_W_transpose,0.002151434631650855,0.0004903301313654025,0.0026417647630162574,False,False,False,False,False,False,False,False,False
31,L_23d,L,1.65389417441422,0.07,0.067744277994733,0.06548855598946599,0.0045114440105340214,0.3738187730208542,symmetrized_0.5_times_W_plus_W_transpose,0.0013514844669849499,0.00028478591017545043,0.0016362703771604003,False,True,False,True,True,False,False,False,True
32,L_v23ab,L,1.76248036501235,0.07,0.06592026677342439,0.061840533546848764,0.008159466453151243,0.37115510274877095,symmetrized_0.5_times_W_plus_W_transpose,0.00153726611208061,0.0004437067182861288,0.001980972830366739,False,True,False,True,True,False,False,False,True
33,L_d23ab,L,1.87780861189806,0.07,0.06285845482158084,0.055716909643161686,0.014283090356838321,0.3780701525136505,symmetrized_0.5_times_W_plus_W_transpose,0.00176647048933824,0.0005569754835370066,0.002323445972875247,False,True,False,True,True,False,False,False,True
34,L_31pv,L,2.10910536116736,0.07,0.054299588777412436,0.03859917755482486,0.03140082244517515,0.40215454064688083,symmetrized_0.5_times_W_plus_W_transpose,0.001589152261933035,0.00019534767441044802,0.0017844999363434832,False,True,False,True,True,False,False,False,True
35,L_5m,L,1.38665127873692,0.07,0.06953914509065794,0.06907829018131587,0.000921709818684141,0.31501660662103736,symmetrized_0.5_times_W_plus_W_transpose,0.0008001868705672195,0.00010024873688442556,0.0009004356074516451,False,False,False,False,False,False,False,False,False
36,L_5mv,L,1.43625999058277,0.07,0.06937650391702244,0.06875300783404485,0.0012469921659551547,0.47296544066102764,symmetrized_0.5_times_W_plus_W_transpose,0.00194159294761027,0.0017752184855777601,0.00371681143318803,False,False,False,False,False,False,False,False,False
