severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,target_locked_amplitude,ipsilateral_a1_locked_amplitude,median_segment_fit_r_squared,phase_eligible_fraction,phase_lag_degrees,median_phase_consistency_across_segments
0.0,53,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793678963,0.0002796269842070028,1.721063732595266e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300938887235,0.9999999877371695
0.0,53,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951218387,0.0005528512578495616,3.402446792881213e-05,0.061541273608948316,0.9999886456461641,1.0,12.233802981594174,0.9999999986762547
0.0,53,5Hz,Semantic proxy,1,0.0,2.0,0.00038801839725589404,0.00038703295587840317,3.177461250063178e-05,0.08208611564863628,0.997952228896693,1.0,30.66804507338345,0.9999999687556298
0.0,53,5Hz,Episodic proxy,1,0.0,2.0,0.0007577859367244686,0.0007563000406858944,6.208443140648964e-05,0.08208611564863627,0.9987283111123922,1.0,27.75501272030671,0.999999980994178
0.0,53,5Hz,Semantic proxy,2,2.0,4.0,0.00038778029287888494,0.0003869585892300861,3.176850259711391e-05,0.08208608903112244,0.9986528621726964,1.0,30.716046049902964,0.9999999687556298
0.0,53,5Hz,Episodic proxy,2,2.0,4.0,0.0007576483067840262,0.0007562565306165477,6.208083799367182e-05,0.08208608903112244,0.9989672344548376,1.0,27.782966767272455,0.999999980994178
0.0,53,5Hz,Semantic proxy,3,4.0,6.0,0.00038778748203018487,0.00038696797380649247,3.176927426881159e-05,0.0820860895722175,0.9986673909150069,1.0,30.716799149416147,0.9999999687556298
0.0,53,5Hz,Episodic proxy,3,4.0,6.0,0.0007576547662988915,0.0007562646916099939,6.208150770596314e-05,0.08208608957221747,0.9989711089603447,1.0,27.78306646512667,0.999999980994178
0.0,53,5Hz,Semantic proxy,4,6.0,8.0,0.00038778719502900294,0.0003869675657591189,3.176924057746968e-05,0.08208608956218033,0.9986654265031599,1.0,30.716791512559663,0.9999999687556298
0.0,53,5Hz,Episodic proxy,4,6.0,8.0,0.0007576549357553132,0.0007562648339968752,6.208151963176591e-05,0.08208608956218032,0.9989711166410197,1.0,27.78308687319915,0.999999980994178
0.0,53,5Hz,Semantic proxy,5,8.0,10.0,0.00038778719502955436,0.00038696756575925704,3.176924057747898e-05,0.08208608956218048,0.9986654264932849,1.0,30.71679151309129,0.9999999687556298
0.0,53,5Hz,Episodic proxy,5,8.0,10.0,0.0007576549357558017,0.0007562648339974159,6.208151963181062e-05,0.0820860895621805,0.9989711166410197,1.0,27.783086873265944,0.999999980994178
0.0,71,2Hz,Semantic proxy,1,0.0,2.0,0.00028076450704740664,0.00027973339259912514,1.7217190600753362e-05,0.06154128088674632,0.9979901193425472,1.0,13.347030054938386,0.9999999878902651
0.0,71,2Hz,Episodic proxy,1,0.0,2.0,0.000554425550401116,0.0005529674865858611,3.403162581371014e-05,0.06154128088674632,0.9993601240811893,1.0,12.230642999858318,0.9999999986865213
0.0,71,2Hz,Semantic proxy,2,2.0,4.0,0.00028030706173574795,0.0002796245632252882,1.7210488030624105e-05,0.06154127355024928,0.9999872272969427,1.0,13.328799414860763,0.9999999878902651
0.0,71,2Hz,Episodic proxy,2,2.0,4.0,0.0005541111137553147,0.0005528490203711583,3.40243307850172e-05,0.061541273550249284,0.9999881646914005,1.0,12.2330638090352,0.9999999986865213
0.0,71,2Hz,Semantic proxy,3,4.0,6.0,0.00028030979531240167,0.00027962738541537514,1.7210662118017958e-05,0.061541273640966815,0.9999885299788833,1.0,13.331543714039002,0.9999999878902651
0.0,71,2Hz,Episodic proxy,3,4.0,6.0,0.0005541139690460637,0.0005528519352280803,3.4024509660980355e-05,0.061541273640966815,0.9999886493339263,1.0,12.233781008927204,0.9999999986865213
0.0,71,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093493501986,0.0002796269564489688,1.7210635621537574e-05,0.061541273610569644,0.9999885710738701,1.0,13.331264104504845,0.9999999878902651
0.0,71,2Hz,Episodic proxy,4,6.0,8.0,0.0005541132798538642,0.0005528512449928124,3.402446714386852e-05,0.061541273610569644,0.9999886456146259,1.0,12.233784893834056,0.9999999986865213
0.0,71,2Hz,Semantic proxy,5,8.0,10.0,0.0002803093793681921,0.0002796269842072993,1.721063732597061e-05,0.061541273608948316,0.9999885688208019,1.0,13.331300938875797,0.9999999878902651
0.0,71,2Hz,Episodic proxy,5,8.0,10.0,0.0005541132951220031,0.0005528512578497383,3.402446792882305e-05,0.061541273608948316,0.9999886456461095,1.0,12.233802981558553,0.9999999986865213
0.0,71,5Hz,Semantic proxy,1,0.0,2.0,0.00038801804590242017,0.00038703375356312375,3.1774677455244515e-05,0.08208611549097064,0.9979568091032626,1.0,30.66786879529303,0.9999999679661407
0.0,71,5Hz,Episodic proxy,1,0.0,2.0,0.0007577855912619713,0.0007563002756062084,6.208445058858306e-05,0.08208611549097064,0.998729710584379,1.0,27.755021353517183,0.9999999810328514
0.0,71,5Hz,Semantic proxy,2,2.0,4.0,0.00038778048425974884,0.0003869588641869562,3.1768525214355776e-05,0.08208608902831055,0.9986533027558974,1.0,30.71616030018627,0.9999999679661407
0.0,71,5Hz,Episodic proxy,2,2.0,4.0,0.000757648744822427,0.0007562570629453701,6.208088170164101e-05,0.08208608902831055,0.9989675204796012,1.0,27.78303355434961,0.9999999810328514
0.0,71,5Hz,Semantic proxy,3,4.0,6.0,0.0003877875207878298,0.00038696801573427094,3.176927773716687e-05,0.0820860895831211,0.9986674380754217,1.0,30.716792836888,0.9999999679661407
