severity,seed,probe,network,segment,segment_start_s,segment_end_s,broadband_transfer,frequency_locked_transfer,broadband_first_half,broadband_second_half,broadband_split_abs_log2,fc_first_half_z,fc_second_half_z,fc_split_abs_z
1.0,23,2Hz,Episodic proxy,5,8.0,10.0,0.1801895093826188,0.003684980763699,0.047702154571755,0.1285823124291027,1.4305658662827354,0.0465921166768616,0.0377875576440762,0.0088045590327853
1.0,23,5Hz,Semantic proxy,1,0.0,2.0,0.080432219307519,0.007073735680082,0.1193429687197775,0.250990540190985,1.072519419907379,0.0146896664706989,0.0177752494053736,0.0030855829346746
1.0,23,5Hz,Semantic proxy,2,2.0,4.0,0.1245786342243542,0.0129125768386381,0.1193429687197775,0.250990540190985,1.072519419907379,0.0146896664706989,0.0177752494053736,0.0030855829346746
1.0,23,5Hz,Semantic proxy,3,4.0,6.0,0.1784917067293807,0.0161698063412572,0.1193429687197775,0.250990540190985,1.072519419907379,0.0146896664706989,0.0177752494053736,0.0030855829346746
1.0,23,5Hz,Semantic proxy,4,6.0,8.0,0.2322416473790658,0.0211550566210143,0.1193429687197775,0.250990540190985,1.072519419907379,0.0146896664706989,0.0177752494053736,0.0030855829346746
1.0,23,5Hz,Semantic proxy,5,8.0,10.0,0.2911572279464763,0.0225883832971286,0.1193429687197775,0.250990540190985,1.072519419907379,0.0146896664706989,0.0177752494053736,0.0030855829346746
1.0,23,5Hz,Episodic proxy,1,0.0,2.0,0.0199116558308732,0.001419867504363,0.0329363113735458,0.0628560538766537,0.9323727093219948,0.0774825150027113,0.0414739368042978,0.0360085781984135
1.0,23,5Hz,Episodic proxy,2,2.0,4.0,0.0321226354927632,0.0016242399904291,0.0329363113735458,0.0628560538766537,0.9323727093219948,0.0774825150027113,0.0414739368042978,0.0360085781984135
1.0,23,5Hz,Episodic proxy,3,4.0,6.0,0.0446462137205417,0.002289178450414,0.0329363113735458,0.0628560538766537,0.9323727093219948,0.0774825150027113,0.0414739368042978,0.0360085781984135
1.0,23,5Hz,Episodic proxy,4,6.0,8.0,0.0401897552125708,0.0024398545035078,0.0329363113735458,0.0628560538766537,0.9323727093219948,0.0774825150027113,0.0414739368042978,0.0360085781984135
1.0,23,5Hz,Episodic proxy,5,8.0,10.0,0.0845185404437404,0.0029332732895146,0.0329363113735458,0.0628560538766537,0.9323727093219948,0.0774825150027113,0.0414739368042978,0.0360085781984135
0.0,37,2Hz,Semantic proxy,1,0.0,2.0,0.0002807622921606,0.0002797330553949,0.0002798951465104,0.0002797197671999,0.000904260638901,2.138305573280851,2.151920194861163,0.0136146215803116
0.0,37,2Hz,Semantic proxy,2,2.0,4.0,0.000280307039804,0.000279624536706,0.0002798951465104,0.0002797197671999,0.000904260638901,2.138305573280851,2.151920194861163,0.0136146215803116
0.0,37,2Hz,Semantic proxy,3,4.0,6.0,0.0002803097953115,0.0002796273854148,0.0002798951465104,0.0002797197671999,0.000904260638901,2.138305573280851,2.151920194861163,0.0136146215803116
0.0,37,2Hz,Semantic proxy,4,6.0,8.0,0.0002803093493503,0.0002796269564491,0.0002798951465104,0.0002797197671999,0.000904260638901,2.138305573280851,2.151920194861163,0.0136146215803116
