severity,probe,network,signal,frequency_hz,median_power,minimum_power,maximum_power,numerical_initializations,log10_median_power,severity_label,series
0.0,2Hz,Episodic proxy,Control,11.9,1.3818118592000117e-10,1.3295845507393818e-10,1.4189208708665036e-10,20,-9.859551084366684,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Control,12.0,9.926052399589966e-11,9.534511707713356e-11,1.020355685116971e-10,20,-10.003223436493853,0.0,Control · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,0.5,4.770525485471564e-11,4.770334694491279e-11,4.7712802361978745e-11,20,-10.32143377968716,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,0.6000000000000001,4.3868416742725294e-11,4.3863000431351183e-11,4.387287958115294e-11,20,-10.357848039456595,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,0.7000000000000001,4.4025230606075747e-11,4.402086603960024e-11,4.403009916852399e-11,20,-10.356298360501313,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,0.8,4.6828572968185346e-11,4.682491765209886e-11,4.6830732442918005e-11,20,-10.32948907650119,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,0.9,5.23720730245527e-11,5.2368157670713647e-11,5.237514253427798e-11,20,-10.280900235239136,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.0,6.147900522670515e-11,6.147431333119089e-11,6.148183070806553e-11,20,-10.211273168303846,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.1,7.625450288527697e-11,7.624787163254262e-11,7.625847977542578e-11,20,-10.11773450581084,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.2000000000000002,1.012810178489373e-10,1.0127271778992211e-10,1.0128453297939245e-10,20,-9.994471942753698,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.3,1.475172252163966e-10,1.4750943670381102e-10,1.4752225568696237e-10,20,-9.831157265247475,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.4000000000000001,2.46168863128102e-10,2.461620413255538e-10,2.4617542749119427e-10,20,-9.60876688002704,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.5,5.139247923819605e-10,5.13912727159313e-10,5.139409269199913e-10,20,-9.28910043089439,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.6,1.6838509680832518e-09,1.6838322575363773e-09,1.6839123318335681e-09,20,-8.773696349061563,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.7000000000000002,3.718507739907322e-08,3.7184991367737493e-08,3.718544795020619e-08,20,-7.429631310211043,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.8,2.9310953219080937e-07,2.9310904722804307e-07,2.931097062482927e-07,20,-6.532970057677042,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,1.9000000000000001,3.015376649900113e-07,3.015371356999748e-07,3.015378382920125e-07,20,-6.5206584325266075,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.0,3.0286026806786906e-07,3.028597310581515e-07,3.028604272061812e-07,20,-6.518757697583905,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.1,3.0096427403598874e-07,3.009637817346078e-07,3.00964439030434e-07,20,-6.521485054272879,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.2,2.9189735862350906e-07,2.918969101481068e-07,2.918975148918246e-07,20,-6.534769834920944,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.3000000000000003,3.735257211775401e-08,3.7352419800768193e-08,3.73527340544531e-08,20,-7.42767948707252,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.4000000000000004,1.6660904344210864e-09,1.6660635570130687e-09,1.666136041405403e-09,20,-8.778301429037205,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.5,4.841569400950682e-10,4.841370569647437e-10,4.841761969634027e-10,20,-9.315013838419024,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.6,2.157639231115312e-10,2.1574729475101874e-10,2.1577067782774927e-10,20,-9.666021169956165,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.7,1.1837658923676238e-10,1.1836612007834857e-10,1.1838347581361281e-10,20,-9.926734177432191,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.8000000000000003,7.352712504082686e-11,7.352200464731906e-11,7.353244466479828e-11,20,-10.133552414897489,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,2.9000000000000004,4.9587705656288937e-11,4.9584074439484844e-11,4.959194247436375e-11,20,-10.304625985354068,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.0,3.545853303983601e-11,3.5454869734430405e-11,3.5462712063647943e-11,20,-10.45027923562407,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.1,2.648122872496034e-11,2.64789309656819e-11,2.6486930205997472e-11,20,-10.577061867567318,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.2,2.0446977717600353e-11,2.0445051679986227e-11,2.0452003606655916e-11,20,-10.68937087629084,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.3000000000000003,1.621205766113475e-11,1.6210166694678253e-11,1.6215494007675538e-11,20,-10.790161860280202,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.4000000000000004,1.312107063483315e-11,1.3118080231975234e-11,1.3123897442323967e-11,20,-10.88203072655871,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.5,1.0775933624495874e-11,1.077386094053801e-11,1.0778544086873972e-11,20,-10.967545092359677,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.6,8.869460434150936e-12,8.868066628484069e-12,8.871320930867486e-12,20,-11.052102799288722,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.7,6.581454188889808e-12,6.580312623233509e-12,6.582976603483814e-12,20,-11.181678137323052,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.8000000000000003,1.3063444231414202e-11,1.3062586004978302e-11,1.306431669341913e-11,20,-10.883942304416848,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,3.9000000000000004,1.1479901168312665e-11,1.1478608194867777e-11,1.1480908071605694e-11,20,-10.940061850809231,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.0,9.943524264134818e-12,9.942843316697885e-12,9.944382262951391e-12,20,-11.002459662162419,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.1000000000000005,8.44347155828239e-12,8.44260128493375e-12,8.44388911378226e-12,20,-11.07347895519663,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.2,6.774477888624201e-12,6.774029607036007e-12,6.775208049535306e-12,20,-11.169124170391132,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.3,3.4606595153179047e-12,3.4592677966290508e-12,3.4633285402606534e-12,20,-11.460841127632385,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.4,3.0658207561892327e-12,3.0646246126674125e-12,3.067824157186483e-12,20,-11.513453239851339,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.5,2.8107184185085905e-12,2.809275109656083e-12,2.812484001698313e-12,20,-11.551182660409376,0.0,Evoked · Episodic proxy
0.0,2Hz,Episodic proxy,Evoked,4.6000000000000005,2.569950495823739e-12,2.5684075658875435e-12,2.571308464350195e-12,20,-11.590075242270903,0.0,Evoked · Episodic proxy
